,start_station_name,value
1281,Pacific St & Rochester Ave,42
1434,St Marks Ave & Ralph Ave,41
614,Columbus Pl & Atlantic Ave,38
1032,Herkimer St & Eastern Pkwy,36
1468,Sterling Pl & Ralph Ave,35
42,2 Ave & 43 St,32
1282,Pacific St & Thomas S. Boyland St,30
43,2 Ave & 44 St,28
510,Buffalo Ave & St Johns Pl,28
1496,Troy Ave & Park Pl,24
1216,Morgan Bike Mechanics,21
582,Church St & Thomas St,18
1142,Lincoln Pl & Nostrand Ave,17
603,College Ave & E 169 St,16
905,Folin St & E 181 St,15
1623,W 40 St & 8 Ave,8
1136,Lexington Ave & Stuyvesant Ave,8
830,E 6 St 2 Ave,6
1398,Sharon St & Olive St_new,3
1388,Schermerhorn St and Court St,2
